speed_knots,ais_gap_hours,spoofed_identity,proximity_meters,in_mpa_zone,coral_reef_proximity,benthic_sensitivity,iuu_label
9.363502971184062,0,0,3365.1514560734454,0,1974.241246184436,6.834312586700398,0
23.767857660247905,0,0,3984.4235789709046,1,2372.443940281357,2.551477258946496,0
18.299848545285126,2,1,1256.0871544685324,1,4274.1914920788795,8.851551070193334,1
14.966462104925915,1,0,3126.2461275369596,0,1706.6218864388618,6.518046151623174,0
3.900466011060913,2,0,2860.8711858030247,0,4349.551927212735,2.4148349520125882,0
3.8998630084050663,1,0,4164.987732057414,0,449.7908105736905,9.661042517330861,0
1.4520903042049866,1,0,4530.904867103896,0,3886.2242016710675,5.665289170017886,0
21.654403644373378,2,0,65.7230735295471,0,4239.262688943134,1.6560860668448951,0
15.02787529358022,0,0,3371.7294956986693,0,917.2700876583203,6.641496139735605,0
17.70181444490114,0,0,263.91981660304646,0,2157.4291965372804,3.278790163115292,0
0.5146123573950612,0,0,2746.5490320613926,0,835.8438755716415,8.233241066895722,0
24.24774630404986,24,0,1441.7254815731726,0,3535.9546036811466,8.360398662095715,1
20.811066020010543,8,1,1537.3491146130953,0,2681.3853626276673,9.810526202691957,1
5.308477766956904,0,0,1768.027724744521,0,3180.2635000745217,5.516825779220533,0
4.545624180177516,1,0,3108.3557830028026,0,990.4699651114936,5.094611917549634,0
4.585112746335845,8,0,1673.5795785155021,0,1066.6118516415734,7.781280449018325,1
7.606056073988443,0,0,3664.8317576984505,1,217.0716542944328,2.192235907077339,0
13.118910790805947,0,1,2025.614290941479,1,1617.1170006266914,5.922239624138117,1
10.798625466052894,8,0,346.4242355482433,0,2803.125860055038,5.9162284011776585,1
7.280728504951048,0,0,3919.8804132081154,0,4291.095220846671,1.8052581052934848,0
15.296322368059487,1,1,1432.3628313405666,0,3337.967962818817,4.761856769562222,1
3.487346516301046,0,0,2166.6705635983167,0,2182.6276537647595,8.679563187104819,0
